,room_id,host_id,room_type,city,neighborhood,District,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
0,44054,192875,Entire home/apt,Beijing,Shuangjing,chaoyang,25,4.5,,3,2,197,1,39.893197,116.44997,53:40.0
1,85349,467520,Entire home/apt,Beijing,"? Dongsi 8th Alley, Beijin",dongcheng,135,5,5,2,1,90,2,39.931734,116.425874,12:10.2
2,100241,525386,Entire home/apt,Beijing,"Side Road of E. 4th Ring Road Middle, Beijin",chaoyang,14,5,3,1,1,57,3,39.91404,116.48804,59:43.2
3,103749,533062,Entire home/apt,Beijing,"? Tonghuihe North Rd, Beijin",chaoyang,14,4.5,2,1,1,110,1,39.90579,116.46765,51:34.9
4,114377,533062,Entire home/apt,Beijing,"? Tonghuihe North Rd, Beijin",chaoyang,32,4.5,2,1,1,89,1,39.904629,116.465985,55:34.1
5,114384,533062,Entire home/apt,Beijing,"? Tonghuihe North Rd, Beijin",chaoyang,20,4.5,2,1,1,97,1,39.904912,116.463667,51:28.2
6,114464,533062,Entire home/apt,Beijing,"? Tonghuihe North Rd, Beijin",chaoyang,15,4.5,2,1,1,95,1,39.905866,116.463649,52:04.9
7,114465,533062,Entire home/apt,Beijing,"Jianguo Road, Beijin",chaoyang,6,5,2,1,1,110,1,39.904408,116.465237,53:24.1
8,114475,533062,Entire home/apt,Beijing,"? Tonghuihe North Rd, Beijin",chaoyang,1,5,1,1,1,105,1,39.905551,116.466953,51:29.3
9,124246,619780,Entire home/apt,Beijing,"? Baiziwan Rd, Beijin",chaoyang,31,4,3,1,1,70,1,39.899782,116.470422,52:59.3
10,128496,467520,Entire home/apt,Beijing,"Dongsi 8th Alley, Beijin",dongcheng,191,5,3,1,,70,2,39.93213,116.421998,12:08.1
11,139686,467520,Entire home/apt,Beijing,"Dongsi 8th Alley, Beijin",dongcheng,126,5,3,1,,70,2,39.932753,116.42369,12:15.1
12,161902,707535,Entire home/apt,Beijing,"? Dongzhong St, Beijin",dongcheng,25,4,2,1,1,70,1,39.933566,116.435765,13:09.6
13,162144,707535,Entire home/apt,Beijing,"? Dongzhong St, Beijin",dongcheng,27,4,4,1,,80,1,39.93668,116.437985,12:21.2
14,168529,803300,Entire home/apt,Beijing,"? Wangzhima Hutong, Beijin",dongcheng,2,4.5,3,1,1,113,7,39.933319,116.417016,13:43.5
15,185064,619780,Private room,Beijing,Beijin,haidian,18,4,2,1,,64,1,39.899844,116.472955,30:28.3
16,221493,1149170,Private room,Beijing,Beijin,xicheng,24,4.5,2,1,1,89,1,39.921861,116.421252,10:41.9
17,224926,1149170,Private room,Beijing,"? Dengcao Hutong, Beijin",dongcheng,5,4.5,2,1,1,89,1,39.920928,116.421025,09:23.7
